,Name,Orbits,Semi-major axis,Ecc.,Inc.,Orbital period,Mass,Surface gravity,Radius,Rotational period,SoI,Atmosphere,
,Kerbol,—,—,—,—,—,1.7565459131933E+28,17.130712827444,261600000,432000,∞,0.157907727430507 atm,
,Moho,Kerbol,5263138.304,0.2,7 °,2215754.2196843,2.5263313993016E+21,2.6977500584721,250000,1210000,9646.663023328,0,
,Eve,Kerbol,9832684.544,0.01,2.09999990463257 °,5657995.146483,1.2243980038014E+23,16.677000467777,700000,80500,85109.364738243,5 atm,
,Gilly,Eve,31500,0.55,12 °,388587.37684793,1.2420363278109E+17,0.049049998903646,13000,28255,126.12327170457,0,
,Kerbin,Kerbol,13599840.256,0,0 °,9203544.6175013,5.2915158343922E+22,9.8100000000001,600000,21549.4251830898,84159.28647963,1 atm,
,Mun,Kerbin,12000,0,0 °,138984.37657448,9.7599066119646E+20,1.6284599380195,200000,138984.376574476,2429.5591165647,0,
,Minmus,Kerbin,47000,0,6 °,1077310.5210188,2.6457579566209E+19,0.49050000730901,60000,40400,2247.4283879023,0,
,Duna,Kerbol,20726155.264,0.05,0.0599999986588955 °,17315400.14257,4.5154270247749E+21,2.9430001169443,320000,65517.859375,47921.949369738,0.0666666686745674 atm,
,Ike,Duna,3200,0.03,0.200000002980232 °,65517.862134808,2.7821615223587E+20,1.0987200339138,130000,65517.8621348081,1049.5989393116,0,
,Dres,Kerbol,40839348.203,0.15,5 °,47893063.138593,3.2190936578525E+20,1.12815,138000,34800,32832.839576776,0,
,Jool,Kerbol,68773560.32,0.05,1.30400002002716 °,104661432.10799,4.2332127305935E+24,7.8480001169443,6000000,36000,2455985.1854234,15.0000004517777 atm,
,Laythe,Jool,27184,0,0 °,52980.87905938,2.9397310629122E+22,7.8480001169444,500000,52980.8790593796,3723.645811133,0.600000018071106 atm,
,Vall,Jool,43152,0,0 °,105962.08889392,3.1087655448204E+21,2.3053499941528,300000,105962.088893924,2406.401444794,0,
,Tylo,Jool,68500,0,0.025000000372529 °,211926.35802123,4.2332127305935E+22,7.8480001169443,600000,211926.35802123,10856.518368359,0,
,Bop,Jool,128500,0.23,15 °,544507.42851665,3.7261089834328E+19,0.58859998684377,65000,544507.428516654,1221.0608628425,0,
,Pol,Jool,179890,0.17,4.25 °,901902.62353117,1.0813506580682E+19,0.37277999999999,44000,901902.623531173,1042.1388923018,0,
,Eeloo,Kerbol,90118820,0.26,6.15 °,156992048.39736,1.1149224241701E+21,1.6873200573028,210000,19460,119082.94164781,0,
